Town,Country,Store ID,Manager name,Staff,Floor Space,Window,Car park,Demographic score,Location,40min population,30 min population,20 min population,10 min population,Store age,Clearance space,Competition number,Competition score,Performance
 Swinton (Greater Manchester),UK,1437,Roger,9,18526,121,Yes,10,Retail Park,1288374,1138224,1006986,1002340,3,238,16,16,Good
 Stamford,UK,1544,Ella,8,18569,121,Yes,11,Shopping Centre,1086225,1015321,1012182,1008436,4,384,15,19,Good
 Skipton,UK,2039,Valentina,-2,12288,105,No,12,Retail Park,1595638,1281661,1104490,1011395,11,219,13,18,Bad
 Stratton,UK,2055,Antonia,7,17092,117,No,14,High Street,1179395,1022959,1009496,1002169,5,261,15,12,Bad
 Shepperton,UK,2141,Gabriel,7,11307,103,No,18,Retail Park,1398558,1085170,1003137,1002513,7,200,19,13,Bad
 Southwell,UK,2309,Sarah,7,17888,119,Yes,19,Retail Park,1614716,1325848,1220059,1193318,2,394,17,11,Good
 Swinton (South Yorkshire),UK,3800,James,8,13814,109,Yes,17,High Street,1323396,1047485,1000888,1000844,5,228,11,14,Bad
 Sowerby Bridge,UK,4214,Ashley,9,15643,114,Y,11,Retail Park,1052606,1025407,1004490,1000319,4,258,12,16,Good
 Sheffield,UK,4857,Guilherme,9,13869,109,Yes,12,Shopping Centre,1537032,1301956,1220364,1057921,9,217,19,14,Good
 Stanley,UK,4860,Grace,7,12071,105,Yes,19,High Street,1141000,1029186,1005096,1000687,6,222,16,18,Good
 Shepshed,UK,7491,Franco,9,13487,108,Y,15,Retail Park,1066359,1032143,1012703,1001537,10,246,15,13,Good
 Staines,UK,7566,Olivia,8,11071,102,No,12,Retail Park,1514670,1400857,1319646,1010879,11,202,15,10,Bad
 Sutton,UK,8207,Olivia,8,18923,122,Yes,18,Shopping Centre,1270676,1175257,1032335,1020164,9,237,10,17,Good
 Stafford,UK,9171,Emily,8,13827,109,Yes,12,Retail Park,1132725,1102537,1058262,1012348,7,242,19,13,Good
 Sawbridgeworth,UK,11440,Matheus,5,14588,111,Yes,17,High Street,1242546,1053056,1047783,1007899,10,261,11,19,Bad
 Stocksbridge,UK,13132,Megane,6,11824,104,Yes,14,High Street,1043277,1004546,1001718,1000627,6,225,11,19,Bad
 Salcombe,UK,13984,Samuel,8,14291,110,Yes,18,High Street,1395395,1010441,1005783,1004909,2,272,16,11,Good
 Southminster,UK,14359,Emma,6,10911,102,Yes,10,Retail Park,1392302,1113062,1097869,1030824,2,203,10,18,Bad
 Slough,UK,14421,Agustina,9,15219,113,Yes,15,Shopping Centre,1973493,1929089,1429238,1426533,6,324,12,13,Good
 Sedgley,UK,14984,Justin,9,12128,105,No,14,Shopping Centre,1634545,1482561,1353056,1296149,5,249,11,18,Good
 St Mawes,UK,15125,Sebasti�n,6,18686,121,Yes,12,Shopping Centre,1721811,1279394,1212956,1036456,4,346,11,16,Good
 Sudbury,UK,16727,Isabella,7,19025,122,Yes,11,High Street,1817320,1735622,1723395,1272149,11,223,10,17,Good
 Steyning,UK,16741,Laurence,7,18535,121,No,13,High Street,1182360,1077124,1049837,1014968,9,266,11,18,Good
 Southampton,UK,18554,J�lia,6,16219,115,Yes,13,Shopping Centre,1759951,1635794,1232915,1158507,5,273,16,18,Good
 Snaith,UK,19296,Luc�a,9,19337,123,Yes,16,High Street,1137206,1066238,1049975,1041967,5,293,17,19,Good
 Sampford Courtenay,UK,20304,Nicol�s,5,12234,105,No,14,Retail Park,1765398,1555157,1053211,1015616,7,234,11,16,Bad
 Skelmersdale,UK,20971,Sof�a,7,13810,109,Yes,14,High Street,1392247,1077683,1068892,1045144,5,270,13,17,Good
 Scunthorpe,UK,21359,Luiz,6,19000,122,Yes,14,Shopping Centre,1546802,1447179,1074217,1006703,5,206,16,18,Good
 Sunderland,UK,23025,Abigail,5,16736,116,Yes,10,High Street,1474310,1366274,1003031,1002039,6,237,18,10,Bad
 Streatham,UK,23231,Fernanda,9,12959,107,N,17,High Street,1575328,1245626,1210849,1099580,11,241,11,13,Bad
 Saxmundham,UK,23249,Mart�n,6,16607,116,Yes,15,Retail Park,1956875,1461685,1405893,1184961,2,233,14,16,Bad
 Sandiacre,UK,23705,Nathan,7,18284,120,No,10,Shopping Centre,1879248,1692035,1006608,1005623,8,207,17,16,Bad
 Stretford,UK,24174,Francisca,6,18399,120,Yes,15,High Street,1101114,1087742,1063778,1018675,10,408,12,15,Bad
 St Austell,UK,24618,Vin�cius,8,18077,120,Yes,16,High Street,1518005,1057762,1010136,1008599,9,281,10,11,Bad
 Stalbridge,UK,24737,Madison,8,19093,122,Yes,17,Retail Park,1609510,1549228,1427320,1027983,11,232,12,16,Good
